gbifID;countryCode;locality;stateProvince;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;eventDate;year;month;day;rightsHolder
4919699337;EC;;Orellana;1;-0.755297;-76.070742;31450;2024-05-29T00:37;2024;5;29;waltervivas00321903
4919603385;CO;;Putumayo;1;0.863613;-76.684621;31449;2024-06-15T23:59;2024;6;15;Savimbo
4919581883;EC;;Orellana;1;-0.665462;-76.085789;31450;2024-07-23T08:05;2024;7;23;jiz154
4919448289;CO;;Putumayo;1;0.901848;-76.716212;31449;2024-07-01T04:24;2024;7;1;Savimbo
4919411148;PE;;Madre de Dios;1;-12.818706;-69.564174;31057;2024-07-27T07:35:44;2024;7;27;Alex Sundvall
4919313352;CR;;Alajuela;1;10.839945;-84.675464;31169;2024-03-11T06:40;2024;3;11;Joachim Bertrands
4919271563;CR;;Guanacaste;1;10.704329;-85.655421;31179;2023-10-11T12:28:54;2023;10;11;biobeagle31
4919270723;CO;;Putumayo;1;0.904071;-76.605703;31449;2024-07-04T21:56;2024;7;4;Savimbo
4919119432;CO;;Putumayo;1;0.828324;-76.662266;31449;2024-07-11T05:23;2024;7;11;Savimbo
4910809165;GT;;Petén;1;17.281997;-90.149844;30748;2024-03-18T18:38;2024;3;18;Jezreel Tiul
4910739832;MX;;Jalisco;1;20.126911;-103.834366;30508;2021-07-17T21:02;2021;7;17;Juan Pablo Silva
4910704387;MX;;Campeche;1;18.461737;-89.408135;30649;2024-07-21T14:30;2024;7;21;johanlind
4909342545;BR;;Mato Grosso do Sul;1;-19.970474;-56.27086;30527;2024-07-08T12:49:33;2024;7;8;jenarricale
4909202362;EC;;Sucumbios;1;0.371354;-77.232151;31451;2024-06-06T05:39;2024;6;6;Savimbo
4909049088;BR;;Mato Grosso;1;-17.203052;-56.689853;30748;2024-07-06T10:01:59;2024;7;6;pazuzu2021
4908737241;CR;;Guanacaste;1;10.69378;-85.667942;31179;2024-07-11T11:45;2024;7;11;Javier Carazo
4908705400;EC;;Pastaza;1;-1.581478;-77.35347;31446;2024-02-10T07:58;2024;2;10;Savimbo
4908518524;EC;;Sucumbios;1;0.271438;-77.361014;31451;2024-06-19T20:33;2024;6;19;Savimbo
4908335393;PE;;Madre de Dios;1;-12.174663;-69.044762;31104;2024-07-08T15:47:30;2024;7;8;Vincent Weber
4908267953;EC;;Sucumbios;1;0.356882;-77.348754;31451;2024-06-18T14:34;2024;6;18;Savimbo
4904058110;PE;;Madre de Dios;1;-12.46375;-71.157033;31081;2023-11-23T22:02:32;2023;11;23;fergusc
4903723647;CO;;Magdalena;1;11.162835;-74.280795;31158;2024-06-26T10:31:07;2024;6;26;DIEGO ARCILA
4902077603;EC;;Sucumbios;1;0.220231;-77.372846;31451;2024-06-10T10:00;2024;6;10;Savimbo
4902042655;EC;;Sucumbios;1;0.398551;-77.277139;31451;2024-05-31T06:00;2024;5;31;Savimbo
4901983386;CR;;Limón;1;10.411646;-83.45606;49492;2024-05-25T07:57;2024;5;25;merari_leyton
4901882354;EC;;Sucumbios;1;0.267142;-77.214863;31451;2024-05-28T11:41;2024;5;28;Savimbo
4901691798;EC;;Sucumbios;1;0.36026;-77.358074;31451;2024-06-07T15:39;2024;6;7;Savimbo
4901584454;EC;;Sucumbios;1;0.368507;-77.309971;31451;2024-06-06T15:25;2024;6;6;Savimbo
4901561888;CO;;Putumayo;1;0.91206;-76.688947;31449;2024-06-02T23:50;2024;6;2;Savimbo
4901374236;CO;;Putumayo;1;0.917236;-76.631882;31449;2024-05-17T00:46;2024;5;17;Savimbo
4901319566;EC;;Sucumbios;1;0.220565;-77.262259;31451;2024-05-31T01:32;2024;5;31;Savimbo
4901307586;EC;;Sucumbios;1;0.21912;-77.398893;31451;2024-06-07T17:56;2024;6;7;Savimbo
4901088081;EC;;Sucumbios;1;0.33809;-77.206916;31451;2024-06-08T01:39;2024;6;8;Savimbo
4900986739;EC;;Sucumbios;1;0.210549;-77.301614;31451;2024-06-06T23:22;2024;6;6;Savimbo
4900922610;EC;;Sucumbios;1;0.303102;-77.247174;31451;2024-05-30T10:59;2024;5;30;Savimbo
4900918166;EC;;Sucumbios;1;0.222289;-77.337709;31451;2024-05-30T17:01;2024;5;30;Savimbo
4900897220;CO;;Putumayo;1;0.927926;-76.647793;31449;2024-05-17T00:48;2024;5;17;Savimbo
4900875201;EC;;Sucumbios;1;0.216983;-77.317683;31451;2024-06-08T01:31;2024;6;8;Savimbo
4900865068;GT;;Petén;1;17.325928;-89.264284;30748;2024-05-27T09:41:31;2024;5;27;Jorge Ramírez
4892207090;BR;;Paraná;1;-25.573228;-54.291791;29958;2024-05-26T15:52:28;2024;5;26;@iguazuexplorer
4892200468;MX;;Oaxaca;1;15.994315;-96.32672;30855;2021-05-15T13:04;2021;5;15;Gustavo Cruz
4892015229;EC;;Orellana;1;-0.736111;-76.446716;31450;2021-08-27T16:38:56;2021;8;27;Pancho Sornoza
4891882887;BR;;Paraná;1;-25.652437;-54.511765;29936;2023-03-16T16:11:36;2023;3;16;@iguazuexplorer
4891656627;BR;;Mato Grosso do Sul;1;-17.266674;-56.740402;30748;2022-04-12T17:04Z;2022;4;12;Malte Krömer
4875448426;BO;;Santa Cruz;1;-16.025143;-62.092788;30841;2024-03-16T23:25;2024;3;16;Raquel Mondino
4873663564;CO;Predio Barlovento, Lugar Antiguo Barlovento;Meta;1;4.32992;-71.94703;;4/14/2023;2023;4;14;
4872487154;CO;;Vichada;1;6.166284;-67.624578;31362;2024-03-07T22:44:28;2024;3;7;canapro_ambiental
4872478485;EC;;Orellana;1;-0.491593;-77.406026;31451;2023-01-26T12:18;2023;1;26;tomfeild
4872212339;EC;;Sucumbios;1;0.276087;-77.237028;31451;2024-04-29T20:25;2024;4;29;Savimbo
4872166280;BR;;Mato Grosso do Sul;1;-19.573527;-57.169275;30562;2024-05-21T15:23:47;2024;5;21;fabiana dos santos de oliveira
4872164547;MX;;Jalisco;1;19.53059;-104.873029;30562;2024-05-13T17:11:12;2024;5;13;Juan Cruzado Cortés
4872162798;CO;;Putumayo;1;0.913808;-76.727398;31449;2024-05-13T01:43;2024;5;13;Savimbo
4868030219;CO;;Antioquia;1;7.752132;-76.442767;31310;2024-05-21T11:07:06;2024;5;21;Julián Alberto Ríos-Soto
4867899113;MX;;Sonora;1;30.836627;-109.938729;29304;2024-04-08T11:46:23;2024;4;8;Salvador Jauregui
4867844643;PE;;Madre de Dios;1;-12.154745;-71.081649;31104;2024-05-18T11:02:16;2024;5;18;wanderingstew
4863886798;CO;;Putumayo;1;0.801696;-76.607227;31449;2024-04-25T00:29;2024;4;25;Savimbo
4863881780;CO;;Putumayo;1;0.860581;-76.686332;31449;2024-04-12T08:06;2024;4;12;Savimbo
4863721226;CO;;Putumayo;1;0.947268;-76.670582;31449;4/21/2024;2024;4;21;Savimbo
4863550992;MX;;Chiapas;1;16.091204;-90.891915;30841;2024-04-23T16:05:10;2024;4;23;Héctor Cruz-Luna
4863536344;CO;;Putumayo;1;0.853694;-76.771729;31449;2024-04-24T02:11;2024;4;24;Savimbo
4863491111;CO;;Putumayo;1;0.951888;-76.790049;31449;2024-04-22T20:17;2024;4;22;Savimbo
